Hostname,Rule ID,Severity,Result
wrkr324,xccdf_org.ssgproject.content_rule_package_prelink_removed,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_package_aide_installed,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_aide_build_database,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_aide_check_audit_tools,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_aide_disable_silentreports,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_aide_periodic_checking_systemd_timer,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_is_fips_mode_enabled,high,notselected
wrkr324,xccdf_org.ssgproject.content_rule_installed_OS_is_vendor_supported,high,notselected
wrkr324,xccdf_org.ssgproject.content_rule_encrypt_partitions,high,notselected
wrkr324,xccdf_org.ssgproject.content_rule_partition_for_dev_shm,low,pass
wrkr324,xccdf_org.ssgproject.content_rule_partition_for_home,low,notselected
wrkr324,xccdf_org.ssgproject.content_rule_partition_for_tmp,low,fail
wrkr324,xccdf_org.ssgproject.content_rule_partition_for_var,low,notselected
wrkr324,xccdf_org.ssgproject.content_rule_partition_for_var_log,low,notselected
wrkr324,xccdf_org.ssgproject.content_rule_partition_for_var_log_audit,low,notselected
wrkr324,xccdf_org.ssgproject.content_rule_partition_for_var_tmp,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_package_gdm_removed,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_dconf_gnome_disable_user_list,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_gnome_gdm_disable_xdmcp,high,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_dconf_gnome_disable_automount,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_dconf_gnome_disable_automount_open,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_dconf_gnome_disable_autorun,low,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_idle_delay,medium,notapplicable
